,season,episode,speaker,percent
791,3,21,dwight,12.302
792,3,21,jamie,1.1900000000000002
793,3,21,jim,19.048000000000002
794,3,21,karen,1.587
795,3,21,kelly,3.175
796,3,21,kevin,2.778
797,3,21,michael,19.841
798,3,21,oscar,2.3810000000000002
799,3,21,pam,6.349
800,3,21,phyllis,0.39699999999999996
801,3,21,ryan,0.7939999999999999
802,3,21,school official,1.587
803,3,21,stanley,0.39699999999999996
804,3,22,andy,3.546
805,3,22,angela,3.9010000000000002
806,3,22,creed,2.128
807,3,22,dwight,14.184
808,3,22,hunter,0.35500000000000004
809,3,22,jan,3.9010000000000002
810,3,22,jim,10.284
811,3,22,karen,5.319
812,3,22,kelly,1.418
813,3,22,kevin,3.9010000000000002
814,3,22,meredith,1.773
815,3,22,michael,27.66
816,3,22,pam,13.120999999999999
817,3,22,phyllis,4.255
818,3,22,ryan,1.773
819,3,22,toby,2.4819999999999998
820,3,23,andy,6.338000000000001
821,3,23,angela,2.817
822,3,23,creed,0.7040000000000001
823,3,23,david,5.282
824,3,23,dwight,13.38
825,3,23,group,1.7610000000000001
826,3,23,jim,7.746
827,3,23,karen,3.1690000000000005
828,3,23,kelly,3.1690000000000005
829,3,23,kevin,1.7610000000000001
830,3,23,meredith,0.35200000000000004
831,3,23,michael,36.972
832,3,23,oscar,1.7610000000000001
833,3,23,pam,8.099
834,3,23,phyllis,0.35200000000000004
835,3,23,ryan,1.056
836,3,23,stanley,3.873
837,3,23,toby,1.4080000000000001
838,3,24,andy,4.3389999999999995
839,3,24,angela,1.183
840,3,24,creed,0.394
841,3,24,david,9.27
842,3,24,dwight,11.44
843,3,24,hunter,1.183
844,3,24,jan,8.087
845,3,24,jim,13.608999999999998
846,3,24,karen,7.495
847,3,24,kelly,0.592
848,3,24,kevin,3.3529999999999998
849,3,24,meredith,1.183
850,3,24,michael,24.458
851,3,24,oscar,1.9720000000000002
852,3,24,pam,8.283999999999999
853,3,24,phyllis,0.7889999999999999
854,3,24,receptionist,0.197
855,3,24,ryan,0.7889999999999999
856,3,24,stanley,1.381
857,3,15,angela,1.575
858,3,15,ben franklin,9.449
859,3,15,bob vance,0.394
860,3,15,dwight,11.024000000000001
861,3,15,elizabeth,6.6930000000000005
862,3,15,jan,2.3619999999999997
863,3,15,jim,9.843
864,3,15,karen,6.6930000000000005
865,3,15,kelly,1.1809999999999998
866,3,15,kevin,0.787
867,3,15,meredith,0.787
868,3,15,michael,29.921
869,3,15,packer,4.331
870,3,15,pam,11.811
871,3,15,roy,0.394
872,3,15,ryan,2.3619999999999997
873,3,15,stanley,0.394
874,3,16,angela,1.695
875,3,16,bob vance,3.955
876,3,16,crowd,0.565
877,3,16,dwight,14.124
878,3,16,jim,10.734
879,3,16,karen,2.26
880,3,16,kelly,2.825
881,3,16,kevin,2.26
882,3,16,meredith,0.565
883,3,16,michael,27.683999999999997
884,3,16,pam,8.475000000000001
885,3,16,photographer,0.565
886,3,16,phyllis,8.475000000000001
887,3,16,priest,2.26
888,3,16,randy,1.13
889,3,16,roy,5.085
890,3,16,stanley,1.13
891,3,16,toby,1.13
892,3,16,uncle al,3.955
893,3,16,unknown,0.565
894,3,16,women,0.565
895,3,17,angela,1.075
896,3,17,artist,0.538
897,3,17,business student #1,2.1510000000000002
898,3,17,business student #2,1.6129999999999998
899,3,17,business student #3,1.075
900,3,17,college student,0.538
901,3,17,creed,2.688
902,3,17,dwight,11.828
903,3,17,gil,2.1510000000000002
904,3,17,jim,5.914
905,3,17,karen,2.688
906,3,17,kelly,4.839
907,3,17,kenny,0.538
908,3,17,kevin,3.2259999999999995
909,3,17,meredith,1.6129999999999998
910,3,17,michael,24.194
911,3,17,oscar,2.1510000000000002
912,3,17,pam,13.977999999999998
913,3,17,roy,4.301
914,3,17,ryan,7.527
915,3,17,stanley,0.538
916,3,17,toby,1.6129999999999998
917,3,17,woman,3.2259999999999995
918,3,18,angela,0.326
919,3,18,bartender,0.326
920,3,18,child,0.651
921,3,18,creed,0.651
922,3,18,dan gore,0.326
923,3,18,david,2.606
924,3,18,dwight,10.098
925,3,18,everyone,0.326
926,3,18,jan,14.984
927,3,18,jim,7.492
928,3,18,karen,3.909
929,3,18,kelly,0.326
